time,id,x,y,angle,type,speed,pos,lane,slope,signals,acceleration,distance
0.0,myflow.0,-94.9,-4.8,90.0,normal,0.0,5.1,E0_0,0.0,0,0.0,5.1
0.1,myflow.0,-94.9,-4.8,90.0,normal,0.01,5.1,E0_0,0.0,8,0.15,5.1
0.2,myflow.0,-94.89,-4.8,90.0,normal,0.04,5.11,E0_0,0.0,8,0.28,5.11
0.3,myflow.0,-94.89,-4.8,90.0,normal,0.09,5.11,E0_0,0.0,8,0.49,5.11
0.4,myflow.0,-94.87,-4.8,90.0,normal,0.17,5.13,E0_0,0.0,0,0.81,5.13
0.5,myflow.0,-94.84,-4.8,90.0,normal,0.29,5.16,E0_0,0.0,0,1.21,5.16
0.6,myflow.0,-94.79,-4.8,90.0,normal,0.46,5.21,E0_0,0.0,0,1.64,5.21
0.7,myflow.0,-94.73,-4.8,90.0,normal,0.66,5.27,E0_0,0.0,0,2.0,5.27
0.8,myflow.0,-94.64,-4.8,90.0,normal,0.88,5.36,E0_0,0.0,0,2.25,5.36
0.9,myflow.0,-94.53,-4.8,90.0,normal,1.12,5.47,E0_0,0.0,0,2.41,5.47
1.0,myflow.0,-94.39,-4.8,90.0,normal,1.37,5.61,E0_0,0.0,0,2.5,5.61
1.1,myflow.0,-94.23,-4.8,90.0,normal,1.63,5.77,E0_0,0.0,0,2.54,5.77
1.2,myflow.0,-94.04,-4.8,90.0,normal,1.88,5.96,E0_0,0.0,0,2.57,5.96
1.3,myflow.0,-93.82,-4.8,90.0,normal,2.14,6.18,E0_0,0.0,0,2.58,6.18
1.4,myflow.0,-93.58,-4.8,90.0,normal,2.4,6.42,E0_0,0.0,0,2.59,6.42
1.5,myflow.0,-93.32,-4.8,90.0,normal,2.66,6.68,E0_0,0.0,0,2.59,6.68
1.6,myflow.0,-93.03,-4.8,90.0,normal,2.92,6.97,E0_0,0.0,0,2.58,6.97
1.7,myflow.0,-92.71,-4.8,90.0,normal,3.18,7.29,E0_0,0.0,0,2.58,7.29
1.8,myflow.0,-92.37,-1.6,90.0,normal,3.44,7.63,E0_1,0.0,0,2.64,7.63
1.9,myflow.0,-92.0,-1.6,90.0,normal,3.7,8.0,E0_1,0.0,2,2.57,8.0
2.0,myflow.0,-91.6,-1.6,90.0,normal,3.94,8.4,E0_1,0.0,2,2.46,8.4
2.1,myflow.0,-91.18,-1.6,90.0,normal,4.18,8.82,E0_1,0.0,2,2.34,8.82
2.2,myflow.0,-90.74,-1.6,90.0,normal,4.4,9.26,E0_1,0.0,2,2.29,9.26
2.3,myflow.0,-90.28,-1.6,90.0,normal,4.63,9.72,E0_1,0.0,2,2.27,9.72
2.4,myflow.0,-89.79,-1.6,90.0,normal,4.86,10.21,E0_1,0.0,2,2.27,10.21
2.5,myflow.0,-89.29,-1.6,90.0,normal,5.07,10.71,E0_1,0.0,2,2.07,10.71
2.6,myflow.0,-88.76,-1.6,90.0,normal,5.27,11.24,E0_1,0.0,2,2.01,11.24
2.7,myflow.0,-88.21,-1.6,90.0,normal,5.47,11.79,E0_1,0.0,2,2.04,11.79
2.8,myflow.0,-87.65,-1.6,90.0,normal,5.66,12.35,E0_1,0.0,2,1.9,12.35
2.9,myflow.0,-87.06,-1.6,90.0,normal,5.85,12.94,E0_1,0.0,2,1.92,12.94
3.0,myflow.0,-86.46,-1.6,90.0,normal,6.06,13.54,E0_1,0.0,2,2.06,13.54
3.1,myflow.0,-85.83,-1.6,90.0,normal,6.28,14.17,E0_1,0.0,2,2.25,14.17
3.2,myflow.0,-85.18,-1.6,90.0,normal,6.49,14.82,E0_1,0.0,2,2.07,14.82
3.3,myflow.0,-84.51,-1.6,90.0,normal,6.69,8049.0,E0_1,0.0,2,1.98,15.49
3.4,myflow.0,-83.82,-1.6,90.0,normal,6.88,16.18,E0_1,0.0,2,1.95,16.18
3.5,myflow.0,-83.11,-1.6,90.0,normal,7.08,16.89,E0_1,0.0,2,1.92,16.89
3.6,myflow.0,-82.39,-1.6,90.0,normal,7.28,17.61,E0_1,0.0,2,2.01,17.61
3.7,myflow.0,-81.64,-1.6,90.0,normal,7.47,18.36,E0_1,0.0,2,1.96,18.36
3.8,myflow.0,-80.87,-1.6,90.0,normal,7.67,19.13,E0_1,0.0,2,1.93,19.13
3.9,myflow.0,-80.09,-1.6,90.0,normal,7.85,19.91,E0_1,0.0,2,1.83,19.91
4.0,myflow.0,-79.29,-1.6,90.0,normal,8.02,20.71,E0_1,0.0,2,1.68,20.71
4.0,myflow.1,-94.9,-4.8,90.0,aggressive,0.0,5.1,E0_0,0.0,0,0.0,5.1
4.1,myflow.0,-78.47,-1.6,90.0,normal,8.18,21.53,E0_1,0.0,2,1.59,21.53
4.1,myflow.1,-94.9,-4.8,90.0,aggressive,0.03,5.1,E0_0,0.0,8,0.29,5.1
4.2,myflow.0,-77.64,-1.6,90.0,normal,8.33,22.36,E0_1,0.0,2,1.56,22.36
