time,id,x,y,angle,type,speed,pos,lane,slope,signals,acceleration,distance
0.0,myflow.0,244.9,4.8,270.0,normal,0.0,5.1,-E6_0,0.0,0,0.0,5.1
0.1,myflow.0,244.9,4.8,270.0,normal,0.01,5.1,-E6_0,0.0,8,0.15,5.1
0.2,myflow.0,244.89,4.8,270.0,normal,0.04,5.11,-E6_0,0.0,8,0.28,5.11
0.3,myflow.0,244.89,4.8,270.0,normal,0.09,5.11,-E6_0,0.0,8,0.49,5.11
0.4,myflow.0,244.87,4.8,270.0,normal,0.17,5.13,-E6_0,0.0,0,0.81,5.13
0.5,myflow.0,244.84,4.8,270.0,normal,0.29,5.16,-E6_0,0.0,0,1.21,5.16
0.6,myflow.0,244.79,4.8,270.0,normal,0.46,5.21,-E6_0,0.0,0,1.64,5.21
0.7,myflow.0,244.73,4.8,270.0,normal,0.66,5.27,-E6_0,0.0,0,2.0,5.27
0.8,myflow.0,244.64,4.8,270.0,normal,0.88,5.36,-E6_0,0.0,0,2.25,5.36
0.9,myflow.0,244.53,4.8,270.0,normal,1.12,5.47,-E6_0,0.0,0,2.41,5.47
1.0,myflow.0,244.39,4.8,270.0,normal,1.37,5.61,-E6_0,0.0,0,2.5,5.61
1.1,myflow.0,244.23,4.8,270.0,normal,1.63,5.77,-E6_0,0.0,0,2.55,5.77
1.2,myflow.0,244.04,4.8,270.0,normal,1.88,5.96,-E6_0,0.0,0,2.57,5.96
1.3,myflow.0,243.82,4.8,270.0,normal,2.14,6.18,-E6_0,0.0,0,2.59,6.18
1.4,myflow.0,243.58,4.8,270.0,normal,2.4,6.42,-E6_0,0.0,0,2.6,6.42
1.5,myflow.0,243.32,4.8,270.0,normal,2.66,6.68,-E6_0,0.0,0,2.6,6.68
1.6,myflow.0,243.03,4.8,270.0,normal,2.92,6.97,-E6_0,0.0,0,2.6,6.97
1.7,myflow.0,242.71,4.8,270.0,normal,3.18,7.29,-E6_0,0.0,0,2.6,7.29
1.8,myflow.0,242.36,4.8,270.0,normal,3.47,7.64,-E6_0,0.0,0,2.84,7.64
1.9,myflow.0,241.98,4.8,270.0,normal,3.76,8.02,-E6_0,0.0,0,2.97,8.02
2.0,myflow.0,241.58,4.8,270.0,normal,4.06,8.42,-E6_0,0.0,0,3.01,8.42
2.1,myflow.0,241.14,4.8,270.0,normal,4.36,8.86,-E6_0,0.0,0,2.93,8.86
2.2,myflow.0,240.68,4.8,270.0,normal,4.66,9.32,-E6_0,0.0,0,2.98,9.32
2.3,myflow.0,240.18,4.8,270.0,normal,4.92,9.82,-E6_0,0.0,0,2.68,9.82
2.4,myflow.0,239.66,4.8,270.0,normal,5.19,10.34,-E6_0,0.0,0,2.68,10.34
2.5,myflow.0,239.12,4.8,270.0,normal,5.45,10.88,-E6_0,0.0,0,2.61,10.88
2.6,myflow.0,238.55,4.8,270.0,normal,5.7,11.45,-E6_0,0.0,0,2.42,11.45
2.7,myflow.0,237.96,4.8,270.0,normal,5.92,12.04,-E6_0,0.0,0,2.25,12.04
2.8,myflow.0,237.34,4.8,270.0,normal,6.16,12.66,-E6_0,0.0,0,2.37,12.66
2.9,myflow.0,236.7,4.8,270.0,normal,6.4,13.3,-E6_0,0.0,0,2.38,13.3
3.0,myflow.0,236.04,4.8,270.0,normal,6.62,13.96,-E6_0,0.0,0,2.23,13.96
3.1,myflow.0,235.36,4.8,270.0,normal,6.83,14.64,-E6_0,0.0,0,2.14,14.64
3.2,myflow.0,234.65,4.8,270.0,normal,7.05,15.35,-E6_0,0.0,0,2.17,15.35
3.3,myflow.0,233.93,4.8,270.0,normal,7.28,16.07,-E6_0,0.0,0,2.26,16.07
3.4,myflow.0,233.17,4.8,270.0,normal,7.51,16.83,-E6_0,0.0,0,2.33,16.83
3.5,myflow.0,232.4,4.8,270.0,normal,7.73,17.6,-E6_0,0.0,0,2.23,17.6
3.6,myflow.0,231.61,4.8,270.0,normal,7.95,18.39,-E6_0,0.0,0,2.2,18.39
3.7,myflow.0,230.79,4.8,270.0,normal,8.19,19.21,-E6_0,0.0,0,2.41,19.21
3.8,myflow.0,229.94,4.8,270.0,normal,8.42,20.06,-E6_0,0.0,0,2.31,20.06
3.9,myflow.0,229.08,4.8,270.0,normal,8.64,20.92,-E6_0,0.0,0,2.12,20.92
4.0,myflow.0,228.2,4.8,270.0,normal,8.83,21.8,-E6_0,0.0,0,1.98,21.8
4.1,myflow.0,227.29,4.8,270.0,normal,9.04,22.71,-E6_0,0.0,0,2.1,22.71
4.2,myflow.0,226.37,4.8,270.0,normal,9.27,23.63,-E6_0,0.0,0,2.27,23.63
4.3,myflow.0,225.41,4.8,270.0,normal,9.51,24.59,-E6_0,0.0,0,2.36,24.59
4.4,myflow.0,224.44,4.8,270.0,normal,9.73,25.56,-E6_0,0.0,0,2.19,25.56
4.5,myflow.0,223.45,4.8,270.0,normal,9.93,26.55,-E6_0,0.0,0,2.07,26.55
4.6,myflow.0,222.43,4.8,270.0,normal,10.15,27.57,-E6_0,0.0,0,2.13,27.57
4.7,myflow.0,221.4,4.8,270.0,normal,10.34,28.6,-E6_0,0.0,0,1.94,28.6
4.8,myflow.0,220.35,4.8,270.0,normal,10.53,29.65,-E6_0,0.0,0,1.88,29.65
4.9,myflow.0,219.27,4.8,270.0,normal,10.72,30.73,-E6_0,0.0,0,1.94,30.73
5.0,myflow.0,218.18,4.8,270.0,normal,10.93,31.82,-E6_0,0.0,0,2.02,31.82
5.1,myflow.0,217.07,4.8,270.0,normal,11.16,32.93,-E6_0,0.0,0,2.32,32.93
5.2,myflow.0,215.93,4.8,270.0,normal,11.39,34.07,-E6_0,0.0,0,2.35,34.07
5.3,myflow.0,214.76,4.8,270.0,normal,11.62,35.24,-E6_0,0.0,0,2.26,35.24
5.4,myflow.0,213.58,4.8,270.0,normal,11.86,36.42,-E6_0,0.0,0,2.4,36.42
5.5,myflow.0,212.37,4.8,270.0,normal,12.11,37.63,-E6_0,0.0,0,2.47,37.63
5.6,myflow.0,211.14,4.8,270.0,normal,12.33,38.86,-E6_0,0.0,0,2.25,38.86
5.7,myflow.0,209.88,4.8,270.0,normal,12.54,40.12,-E6_0,0.0,0,2.12,40.12
5.8,myflow.0,208.61,4.8,270.0,normal,12.74,41.39,-E6_0,0.0,0,2.0,41.39
5.9,myflow.0,207.31,4.8,270.0,normal,12.92,42.69,-E6_0,0.0,0,1.78,42.69
6.0,myflow.0,206.01,4.8,270.0,normal,13.06,43.99,-E6_0,0.0,0,1.44,43.99
6.1,myflow.0,204.69,4.8,270.0,normal,13.15,45.31,-E6_0,0.0,0,0.81,45.31
6.2,myflow.0,203.37,4.8,270.0,normal,13.21,46.63,-E6_0,0.0,0,0.66,46.63
6.3,myflow.0,202.05,4.8,270.0,normal,13.27,47.95,-E6_0,0.0,0,0.62,47.95
6.4,myflow.0,200.71,4.8,270.0,normal,13.31,49.29,-E6_0,0.0,0,0.38,49.29
6.5,myflow.0,199.38,4.8,270.0,normal,13.32,50.62,-E6_0,0.0,0,0.12,50.62
6.6,myflow.0,198.05,4.8,270.0,normal,13.33,51.95,-E6_0,0.0,0,0.02,51.95
6.7,myflow.0,196.72,4.8,270.0,normal,13.32,53.28,-E6_0,0.0,0,-0.09,53.28
6.8,myflow.0,195.39,4.8,270.0,normal,13.3,54.61,-E6_0,0.0,0,-0.21,54.61
6.9,myflow.0,194.06,4.8,270.0,normal,13.26,55.94,-E6_0,0.0,0,-0.39,55.94
7.0,myflow.0,192.74,4.8,270.0,normal,13.2,57.26,-E6_0,0.0,0,-0.56,57.26
7.1,myflow.0,191.43,4.8,270.0,normal,13.15,58.57,-E6_0,0.0,0,-0.52,58.57
7.2,myflow.0,190.12,4.8,270.0,normal,13.1,59.88,-E6_0,0.0,0,-0.52,59.88
7.3,myflow.0,188.81,4.8,270.0,normal,13.04,61.19,-E6_0,0.0,0,-0.58,61.19
7.4,myflow.0,187.52,4.8,270.0,normal,12.96,62.48,-E6_0,0.0,0,-0.75,62.48
7.5,myflow.0,186.23,4.8,270.0,normal,12.87,63.77,-E6_0,0.0,0,-0.93,63.77
7.6,myflow.0,184.95,4.8,270.0,normal,12.77,65.05,-E6_0,0.0,0,-0.99,65.05
7.7,myflow.0,183.69,4.8,270.0,normal,12.66,66.31,-E6_0,0.0,0,-1.13,66.31
7.8,myflow.0,182.44,4.8,270.0,normal,12.51,67.56,-E6_0,0.0,8,-1.47,67.56
7.9,myflow.0,181.2,4.8,270.0,normal,12.33,68.8,-E6_0,0.0,8,-1.81,68.8
8.0,myflow.0,179.99,4.8,270.0,normal,12.12,70.01,-E6_0,0.0,8,-2.08,70.01
8.1,myflow.0,178.8,4.8,270.0,normal,11.93,71.2,-E6_0,0.0,8,-1.98,71.2
8.2,myflow.0,177.63,4.8,270.0,normal,11.71,72.37,-E6_0,0.0,8,-2.2,72.37
8.3,myflow.0,176.48,4.8,270.0,normal,11.47,73.52,-E6_0,0.0,8,-2.37,73.52
8.4,myflow.0,175.36,4.8,270.0,normal,11.21,74.64,-E6_0,0.0,8,-2.61,74.64
8.5,myflow.0,174.27,4.8,270.0,normal,10.94,75.73,-E6_0,0.0,8,-2.7,75.73
8.6,myflow.0,173.2,4.8,270.0,normal,10.67,76.8,-E6_0,0.0,8,-2.7,76.8
8.7,myflow.0,172.16,4.8,270.0,normal,10.38,77.84,-E6_0,0.0,8,-2.9,77.84
8.8,myflow.0,171.15,4.8,270.0,normal,10.09,78.85,-E6_0,0.0,8,-2.84,78.85
8.9,myflow.0,170.17,4.8,270.0,normal,9.82,79.83,-E6_0,0.0,8,-2.74,79.83
9.0,myflow.0,169.21,4.8,270.0,normal,9.55,80.79,-E6_0,0.0,8,-2.7,80.79
9.1,myflow.0,168.29,4.8,270.0,normal,9.28,81.71,-E6_0,0.0,8,-2.65,81.71
9.2,myflow.0,167.38,4.8,270.0,normal,9.04,82.62,-E6_0,0.0,8,-2.49,82.62
9.3,myflow.0,166.5,4.8,270.0,normal,8.79,83.5,-E6_0,0.0,8,-2.47,83.5
9.4,myflow.0,165.65,4.8,270.0,normal,8.55,84.35,-E6_0,0.0,8,-2.36,84.35
9.5,myflow.0,164.82,4.8,270.0,normal,8.32,85.18,-E6_0,0.0,8,-2.28,85.18
9.6,myflow.0,164.0,4.8,270.0,normal,8.11,86.0,-E6_0,0.0,8,-2.14,86.0
9.7,myflow.0,163.21,4.8,270.0,normal,7.91,86.79,-E6_0,0.0,8,-2.03,86.79
9.8,myflow.0,162.44,4.8,270.0,normal,7.7,87.56,-E6_0,0.0,8,-2.1,87.56
9.9,myflow.0,161.69,4.8,270.0,normal,7.5,88.31,-E6_0,0.0,8,-1.98,88.31
10.0,myflow.0,160.96,4.8,270.0,normal,7.31,89.04,-E6_0,0.0,8,-1.94,89.04
10.0,myflow.1,-194.9,-4.8,90.0,normal,0.0,5.1,E0_0,0.0,0,0.0,5.1
10.1,myflow.0,160.25,4.8,270.0,normal,7.12,89.75,-E6_0,0.0,8,-1.86,89.75
10.1,myflow.1,-194.9,-4.8,90.0,normal,0.01,5.1,E0_0,0.0,8,0.15,5.1
10.2,myflow.0,159.56,4.8,270.0,normal,6.96,90.44,-E6_0,0.0,8,-1.6,90.44
10.2,myflow.1,-194.89,-4.8,90.0,normal,0.04,5.11,E0_0,0.0,8,0.28,5.11
10.3,myflow.0,158.88,4.8,270.0,normal,6.79,91.12,-E6_0,0.0,8,-1.74,91.12
10.3,myflow.1,-194.89,-4.8,90.0,normal,0.09,5.11,E0_0,0.0,8,0.49,5.11
10.4,myflow.0,158.22,4.8,270.0,normal,6.6,91.78,-E6_0,0.0,8,-1.83,91.78
10.4,myflow.1,-194.87,-4.8,90.0,normal,0.17,5.13,E0_0,0.0,0,0.81,5.13
10.5,myflow.0,157.57,4.8,270.0,normal,6.44,92.43,-E6_0,0.0,8,-1.66,92.43
10.5,myflow.1,-194.84,-4.8,90.0,normal,0.29,5.16,E0_0,0.0,0,1.21,5.16
10.6,myflow.0,156.94,4.8,270.0,normal,6.3,93.06,-E6_0,0.0,8,-1.36,93.06
10.6,myflow.1,-194.79,-4.8,90.0,normal,0.46,5.21,E0_0,0.0,0,1.64,5.21
10.7,myflow.0,156.32,4.8,270.0,normal,6.18,93.68,-E6_0,0.0,8,-1.26,93.68
10.7,myflow.1,-194.73,-4.8,90.0,normal,0.66,5.27,E0_0,0.0,0,2.0,5.27
10.8,myflow.0,155.72,4.8,270.0,normal,6.05,94.28,-E6_0,0.0,8,-1.23,94.28
10.8,myflow.1,-194.64,-4.8,90.0,normal,0.88,5.36,E0_0,0.0,0,2.25,5.36
10.9,myflow.0,155.13,4.8,270.0,normal,5.93,94.87,-E6_0,0.0,8,-1.21,94.87
10.9,myflow.1,-194.53,-4.8,90.0,normal,1.12,5.47,E0_0,0.0,0,2.41,5.47
11.0,myflow.0,154.54,4.8,270.0,normal,5.82,95.46,-E6_0,0.0,8,-1.1,95.46
11.0,myflow.1,-194.39,-4.8,90.0,normal,1.37,5.61,E0_0,0.0,0,2.5,5.61
11.1,myflow.0,153.97,4.8,270.0,normal,5.69,96.03,-E6_0,0.0,8,-1.29,96.03
11.1,myflow.1,-194.23,-4.8,90.0,normal,1.63,5.77,E0_0,0.0,0,2.55,5.77
11.2,myflow.0,153.42,4.8,270.0,normal,5.58,96.58,-E6_0,0.0,8,-1.11,96.58
11.2,myflow.1,-194.04,-4.8,90.0,normal,1.88,5.96,E0_0,0.0,0,2.57,5.96
11.3,myflow.0,152.87,4.8,270.0,normal,5.51,97.13,-E6_0,0.0,8,-0.73,97.13
11.3,myflow.1,-193.82,-4.8,90.0,normal,2.14,6.18,E0_0,0.0,0,2.58,6.18
11.4,myflow.0,152.32,4.8,270.0,normal,5.47,97.68,-E6_0,0.0,0,-0.36,97.68
11.4,myflow.1,-193.58,-4.8,90.0,normal,2.4,6.42,E0_0,0.0,0,2.6,6.42
